Date,CA,CAName,DailyPositive,CumulativePositive,CrudeRatePositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative,TotalTests,PositiveTests,PositivePercentage,TotalPillar1,TotalPillar2
20200305,S12000010,East Lothian,0,0,0,0,0,0,32,29.8814081613596,3,0,0,3,0
20200305,S12000011,East Renfrewshire,0,0,0,0,0,0,30,31.40374751387,8,0,0,8,0
20200305,S12000013,Na h-Eileanan Siar,0,0,0,0,0,0,3,11.2275449101796,2,0,0,2,0
20200305,S12000014,Falkirk,0,1,0.62154266890422,0,0,0,66,41.0218161476785,13,0,0,13,0
20200305,S12000017,Highland,0,0,0,0,0,0,52,22.0497816223551,9,0,0,9,0
20200305,S12000018,Inverclyde,0,0,0,0,0,0,23,29.5629820051414,6,0,0,6,0
20200305,S12000019,Midlothian,0,0,0,0,0,0,34,36.772658446896,0,0,0,0,0
20200305,S12000020,Moray,0,2,2.08724692131079,0,0,0,17,17.7415988311417,8,1,12.5,8,0
20200305,S12000021,North Ayrshire,0,1,0.742170105388155,0,0,0,37,27.4602938993617,5,0,0,5,0
20200305,S12000023,Orkney Islands,0,0,0,0,0,0,5,22.4517287831163,0,0,0,0,0
20200305,S12000026,Scottish Borders,0,0,0,0,0,0,39,33.7633105358843,1,0,0,1,0
20200305,S12000027,Shetland Islands,0,0,0,0,0,0,2,8.7260034904014,2,0,0,2,0
20200305,S12000028,South Ayrshire,0,0,0,0,0,0,21,18.6484326436373,5,0,0,5,0
20200305,S12000029,South Lanarkshire,0,0,0,0,0,0,90,28.0784949926684,13,0,0,13,0
20200305,S12000030,Stirling,0,0,0,0,0,0,43,45.6427130877826,6,0,0,6,0
20200305,S12000033,Aberdeen City,0,1,0.437311409454673,0,0,0,58,25.364061748371,1,0,0,1,0
20200305,S12000034,Aberdeenshire,0,1,0.382833735308755,0,0,0,57,21.8215229125991,12,2,16.6666666666667,12,0
20200305,S12000035,Argyll & Bute,0,0,0,0,0,0,13,15.1391638523349,2,0,0,2,0
20200305,S12000036,City of Edinburgh,1,2,0.381003181376565,0,0,0,227,43.2438610862401,23,1,4.347826086956521,23,0
20200305,S12000038,Renfrewshire,0,0,0,0,0,0,52,29.034059184813,9,0,0,9,0
